2214(14079), 1819(4869)
9660(8488), 5957(3097)
8866(15755), 4824(655)
3252(9282), 8077(4357)
8077(4357), 896(2833)
896(2833), 2736(2076)
3321(13880), 7231(3612)
223(8398), 1281(7109)
7911(5891), 6486(3206)
80(8065), 9133(7324)
9471(14814), 9638(491)
7221(2415), 5950(332)
3822(9905), 8042(2900)
3822(9904), 8042(2899)
5405(20418), 4546(4364)
4055(10653), 7250(5580)
6789(7762), 4636(5679)
8484(10215), 361(7825)
4465(16330), 4466(3524)
1990(6374), 8917(1226)
7991(10919), 5011(3109)
7825(10608), 6236(3145)
207(8079), 8645(7060)
8645(7060), 9882(2261)
8854(7153), 8870(6709)
6984(8641), 4550(3622)
3592(7674), 2219(2809)
5943(8605), 2845(3980)
5659(9699), 7530(5861)
9681(9972), 3125(6822)
5752(13237), 6270(295)
3753(5272), 8077(5221)
8077(5221), 4724(4948)
8900(11165), 7388(1683)
8777(21843), 285(3597)
5961(8067), 2550(1905)
2550(1905), 3194(344)
1831(9198), 9293(2729)
6215(8788), 5560(74)
9892(8268), 7395(1859)
4454(13792), 4408(10595)
5912(5607), 7684(301)
7092(2604), 4138(2311)
4515(8245), 9611(6205)
5756(4286), 6700(2903)
9915(10305), 2819(2544)
3841(16120), 234(3964)
8406(6447), 8317(3226)
9968(14073), 9850(7518)
8054(7933), 6473(3817)
9098(10925), 8996(7552)
2558(11538), 4435(3837)
4640(12348), 8624(2135)
932(5870), 757(810)
7349(13100), 2868(6306)
4085(9633), 7123(5150)
2774(14641), 2994(4436)
4288(5437), 9761(323)
6163(3144), 9938(3029)
9938(3029), 5821(128)
8557(14011), 6560(423)
7411(3828), 3743(3446)
6957(11359), 7048(5388)
4487(2668), 6726(1760)
1298(9760), 9399(5644)
1386(1319), 8982(1178)
6960(4066), 6219(2585)
4467(14373), 1386(3093)
9010(10238), 394(6259)
8839(5897), 1926(1050)
3314(6451), 8105(1863)
2176(3002), 5233(1478)
4531(10475), 1302(1822)
4531(10476), 1302(1824)
8580(12708), 9808(4961)
2240(2168), 7602(890)
2240(2169), 7602(891)
2135(4341), 1843(2681)
3437(5434), 8025(3203)
807(17587), 8542(6565)
8498(13594), 6730(2620)
2085(13164), 7603(6995)
386(15388), 7348(2070)
3536(9985), 1002(4327)
9859(13631), 7818(9814)
7097(10775), 6052(4788)
9775(1562), 5659(588)
9775(1563), 5659(589)
6661(11986), 2802(488)
6047(11452), 3614(3495)
8388(5835), 4335(570)
2072(9708), 3342(6272)
2072(9710), 3342(6273)
3342(6273), 4861(853)
6270(9933), 5109(2189)
6078(6399), 9061(4982)
71(10108), 9279(6400)
6054(7920), 7167(7876)
677(10453), 4230(9211)
7965(3125), 2926(455)
1653(3259), 5069(796)
2774(10947), 8810(6213)
179(5626), 1026(1010)
8357(10643), 917(4976)
7578(1365), 4020(1174)
9565(13339), 5760(5880)
3752(2140), 3169(1768)
9215(12382), 6036(6876)
8077(4318), 7530(676)
6758(5504), 8429(1474)
7895(3964), 2109(3007)
1134(1446), 1521(1093)
7033(13903), 9616(4487)
3003(11182), 9619(3424)
7105(12846), 1021(7070)
6687(14945), 8972(748)
5466(13530), 6218(1733)
7283(17681), 5327(2801)
2022(8018), 1290(6165)
6217(3028), 8124(1161)
6369(20937), 4049(1062)
2263(7657), 6663(7226)
8745(14015), 7283(2489)
4157(5973), 7818(1872)
6940(10629), 9304(8908)
9651(4299), 6162(298)
5147(13478), 646(2992)
8161(12416), 2894(7126)
8161(12418), 2894(7128)
5654(3398), 107(2568)
7017(8974), 4987(3815)
4987(3815), 7018(2191)
7017(8973), 4987(3813)
1568(6852), 6806(6101)
5845(13462), 5560(8378)
4230(13352), 8945(2620)
5311(10447), 790(3153)
50(12194), 8251(4311)
50(12193), 8251(4310)
9159(3897), 7166(827)
474(12441), 3932(4467)
9463(6590), 2850(1289)
8714(9948), 3760(4578)
6381(16306), 8614(1474)
4366(8301), 9010(481)
8557(13875), 5031(1290)
3512(10841), 6271(3371)
8504(11947), 5917(2629)
4516(264), 9238(123)
4516(265), 9238(124)
7957(5642), 6630(4032)
6358(1194), 1076(465)
3921(4483), 8594(2273)
21(10902), 7688(2283)
1345(5675), 5425(1476)
6910(3756), 8536(3317)
9945(11199), 2290(2330)
4665(11772), 2517(6920)
4871(7437), 5327(186)
9139(11012), 5474(7429)
938(6435), 3612(689)
2620(2376), 5570(1992)
499(17156), 7410(3875)
7184(13315), 6998(4860)
2441(8729), 4277(3328)
6201(1714), 9135(746)
2940(9159), 886(3490)
5058(18868), 7352(866)
6172(6365), 9583(1502)
5568(3595), 3726(974)
6831(13560), 6632(4426)
3575(13374), 2120(4865)
2651(3587), 4708(1326)
8134(15790), 5209(1585)
3891(9601), 9344(2188)
6309(15885), 9446(9752)
7798(4415), 9496(2289)
351(3427), 95(2792)
2400(10609), 6136(3078)
7505(13055), 7045(8203)
1258(10022), 5637(63)
6974(14060), 9835(4081)
9569(6041), 4519(5653)
7220(2418), 7799(226)
4711(5260), 4712(491)
4826(2542), 6789(923)
2214(10796), 3656(6250)
469(16997), 7095(10205)
4960(14251), 7315(2918)
3087(10284), 1180(144)
1644(2449), 6114(538)
9859(13820), 3916(12193)
2301(7679), 2300(7542)
7978(4872), 4464(2309)
7978(4873), 4464(2310)
7017(15565), 9720(2567)
5109(10106), 7493(3172)
6896(18228), 4583(1589)
9642(9718), 7911(5873)
9642(9719), 7911(5874)
2115(17698), 9895(4684)
6939(6403), 8752(1958)
9399(1749), 4955(202)
9399(1750), 4955(203)
445(7222), 9600(759)
7664(15517), 2166(8157)
9894(2392), 5073(1777)
3321(3394), 2117(1946)
2117(1946), 5578(1814)
7598(9865), 160(5775)
4079(6906), 6003(1563)
1455(7367), 8163(2136)
3541(6154), 9707(849)
4952(6857), 9046(954)
5984(4596), 5712(3943)
4752(2327), 4753(2320)
195(3515), 7350(1937)
9024(6668), 4642(1051)
7190(12286), 9660(8887)
5547(8061), 958(2908)
2001(6083), 8870(5917)
2933(19422), 187(10401)
4906(2181), 9851(1401)
